ingno,ingname,lisklevel,liskgrade,datagrade,useful,harmful,caution,function
1,"1,2-헥산디올",1,낮음,적음,없음,없음,없음,없음
2,C12-15알킬벤조에이트,1,낮음,적음,없음,없음,없음,없음
3,가시대나무수액,0,없음,없음,없음,없음,없음,없음
4,갈락토미세스발효여과물,0,없음,없음,없음,없음,없음,없음
5,갈조추출물;조류추출물,1,낮음,적음,없음,없음,없음,없음
6,구기자추출물,1,낮음,없음,없음,없음,없음,없음
7,권백추출물,1,낮음,없음,없음,없음,없음,없음
8,규조토,1,낮음,없음,없음,없음,없음,없음
9,글루코오스,1,낮음,적당함,없음,없음,없음,없음
10,글리세레스-26,1,낮음,적음,없음,없음,없음,없음
11,글리세린,2,낮음,충분함,건성,없음,없음,없음
12,글리세릴스테아레이트,1,낮음,없음,없음,없음,없음,없음
13,글리세릴스테아레이트에스이,1,낮음,적음,없음,없음,없음,없음
14,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,1,낮음,없음,없음,없음,없음,없음
15,글리세릴카프릴레이트,1,낮음,적음,없음,없음,없음,없음
16,금;골드,4,중간,적당함,없음,없음,없음,없음
17,나이아신아마이드;니코틴산아마이드,1,낮음,적당함,없음,없음,없음,미백개선
18,낙타유,0,없음,없음,없음,없음,없음,없음
19,네오펜틸글라이콜디헵타노에이트,1,낮음,없음,없음,없음,없음,없음
20,녹차수;홍차수,1,낮음,적당함,지성,없음,없음,없음
21,녹차추출물;홍차추출물;백차추출물;보이차추출물,1,낮음,적음,지성,없음,없음,없음
22,뉴질랜드삼뿌리추출물,0,없음,없음,없음,없음,없음,없음
23,느릅나무뿌리추출물,0,없음,없음,없음,없음,없음,없음
24,다시마,0,없음,없음,없음,없음,없음,없음
25,달팽이점액여과물;스네일세크레이션필트레이트,1,낮음,없음,없음,없음,없음,없음
26,대나무수,1,낮음,없음,없음,없음,없음,없음
27,데실글루코사이드,1,낮음,적음,없음,없음,없음,없음
28,덱스트린,1,낮음,적당함,없음,없음,없음,없음
29,동백오일,1,낮음,없음,없음,없음,없음,없음
30,드로메트리졸리트리실록산,4,중간,적음,없음,없음,없음,자외선차단
31,디메치콘,3,중간,적음,없음,없음,없음,없음
32,디메칠에델,2,낮음,적당함,없음,없음,없음,없음
33,디스테아디모늄헥토라이트,1,낮음,없음,없음,없음,없음,없음
34,디실록산,2,낮음,적음,없음,없음,없음,없음
35,디아졸리디닐우레아,6,중간,적음,없음,없음,주의성분,없음
36,디에톡시에칠석시네이트,0,없음,없음,없음,없음,없음,없음
37,디엠디엠하이단토인,7,높음,적음,없음,없음,주의성분,없음
38,디이소스스테아릴말레이트,1,낮음,적음,없음,없음,없음,없음
39,디카프릴릴에텔,1,낮음,적음,없음,없음,없음,없음
40,디카프릴릴카보네이트,1,낮음,없음,없음,없음,없음,없음
41,디카프릴릴카보네이트,1,낮음,없음,없음,없음,없음,없음
42,디카프릴릴카보네이트,1,낮음,적음,없음,없음,없음,없음
43,디프로필렌글라이콜,1,낮음,적음,없음,없음,없음,없음
44,디헵틸석시네이트,1,낮음,없음,없음,없음,없음,없음
45,라우레스-7,3,중간,없음,없음,없음,주의성분,없음
46,락토바실러스/알로에베라발효여과물,0,없음,없음,없음,없음,없음,없음
47,락토바실러스/콩발효추출물,1,낮음,없음,없음,없음,없음,없음
48,레티닐팔미테이트,9,높음,적당함,건성,없음,없음,주름개선
49,로즈힙열매오일,1,낮음,적음,없음,없음,없음,없음
50,리날룰,5,중간,적당함,없음,없음,알레르기,없음
51,리모넨,6,중간,충분함,없음,없음,알레르기,없음
52,리토탐니움 칼카룸가루,1,낮음,없음,없음,없음,없음,없음
53,마데카소사이드,1,낮음,적음,없음,없음,없음,없음
54,마이카,2,낮음,적당함,없음,없음,없음,없음
55,마치현추출물;포츌라카올레라세아추출물,1,낮음,적음,없음,없음,없음,없음
56,마카다미아넛오일(1);마카다미아넛오일(2);마카다미아씨오일,1,낮음,적음,없음,없음,없음,없음
57,망고씨드버터,1,낮음,적음,없음,없음,없음,없음
58,메칠트리메치콘,1,낮음,없음,없음,없음,없음,없음
59,메칠파라벤,4,중간,적음,없음,없음,주의성분,없음
60,미네랄오일,1/2/3,중간,적당함,없음,없음,주의성분,없음
61,미리스틱애씨드;미리스틴산,1,낮음,적당함,없음,지성,없음,없음
62,바이오사카라이드검-1,1,낮음,없음,없음,없음,없음,없음
63,베타-글루칸,1,낮음,적당함,없음,없음,없음,없음
64,베헤닐알코올,1,낮음,적음,없음,없음,없음,없음
65,베헨트리모늄클로라이드,3,중간,적음,없음,없음,없음,없음
66,벤토나이트,2,낮음,적당함,없음,없음,없음,없음
67,변성알코올,0,없음,없음,없음,건성/민감성,없음,없음
68,병풀추출물,1,낮음,적음,없음,없음,없음,없음
69,"부틸렌글라이콜;1,3-부틸렌글라이콜",1,낮음,적음,건성,없음,없음,없음
70,부틸메톡시디벤조일메탄;아보벤존;파르솔1789,2,낮음,적음,없음,없음,주의성분,자외선차단
71,비스-에칠헥실옥시페놀메톡시페닐트리아진,0,없음,없음,없음,없음,없음,자외선차단
72,비스-피이지/피피지-14/14디메치콘,3,중간,없음,없음,없음,주의성분,없음
73,비스-피이지-18메칠에텔디메칠실란,3,중간,없음,없음,없음,주의성분,없음
74,비에이치티;부틸하이드록시톨루엔;디부틸하이드록시톨루엔;부틸레이티드하이드록톨루엔,6,중간,적당함,없음,없음,주의성분,없음
75,비즈왁스;세라알바,1,낮음,적음,없음,없음,없음,없음
76,빙하수,0,없음,없음,없음,없음,없음,없음
77,사과추출물,1,낮음,없음,없음,없음,없음,없음
78,사발팜열매추출물,1,낮음,적음,없음,없음,없음,없음
79,사이클로펜타실록산;데카메칠사이클로펜타실록산,3,중간,적당함,없음,없음,없음,없음
80,사이클론펜타실록산,3,중간,적당함,없음,없음,없음,없음
81,산양유추출물,0,없음,없음,없음,없음,없음,없음
82,살리실릭애씨드,1,낮음,없음,없음,없음,없음,없음
83,상추추출물,1,낮음,적음,없음,없음,없음,없음
84,서양장미꽃수,1,낮음,적당함,건성,없음,없음,없음
85,석류추출물,0,없음,없음,없음,없음,없음,없음
