ingno,ingname,lisklevel,liskgrade,datagrade,useful,harmful,caution,function
1,감초,1,낮음,적당함,지성,없음,없음,없음
2,글라이콜릭애씨드,4,중간,적당함,지성,민감성,없음,없음
3,노녹시놀-9,3,중간,적음,지성,없음,없음,없음
4,녹차가루;홍차가루;보이차가루,1,낮음,적당함,지성,없음,없음,없음
5,녹차수;홍차수,1,낮음,적당함,지성,없음,없음,없음
6,녹차추출물;홍차추출물;백차추출물;보이차추출물,1,낮음,적음,지성,없음,없음,없음
7,레몬가루,0,없음,없음,지성,민감성,없음,없음
8,레몬수,2,낮음,적음 ,지성,민감성,없음,없음
9,레몬오일,3,중간,없음,지성,민감성,없음,없음
10,레몬즙,2,낮음,적음,지성,민감성,없음,없음
11,레몬즙추출물,1,낮음,없음,지성,민감성,없음,없음
12,레몬추출물,2,낮음,적음,지성,민감성,없음,없음
13,멘톨,1,낮음,적당함,지성,건성 / 민감성,없음,없음
14,살리실릭애씨드;살리실산,4,중간,충분함,지성,민감성,없음,없음
15,알란토인,1,낮음,적당함,지성 / 민감성,없음,없음,없음
16,위치하젤수,1,낮음,적음,지성,없음,없음,없음
17,징크옥사이드,2~3,중간,적당함,지성,없음,없음,없음
18,카렌둘라추출물;카렌듈라추출물;금잔화추출물,01월 01일,낮음,적음,지성,없음,없음,없음
19,캠퍼,2,낮음,적당함,지성,없음,없음,없음
20,티타늄디옥사이드,1~3,중간,충분함,지성 / 민감성,없음,없음,없음
21,티트리추출물,1,낮음,적음,지성,없음,없음,없음
22,황,1,낮음,충분함,지성,없음,없음,없음
23,미리스틱애씨드;미리스틴산,1,낮음,적당함,없음,지성,없음,없음
24,벤조페논-3;옥시벤존,8,높음,적당함,없음,지성 / 민감성,주의성분,없음
25,트리글리세라이드,1,낮음,적당함,없음,지성,없음,없음
26,쉐어버터;시어버터,1,낮음,적음,없음,지성,없음,없음
27,스테아릭애씨드,1,낮음,적당함,없음,지성,없음,없음
28,에칠헥실메톡시신나메이트;옥티녹세이트;옥틸메톡시신나메이트,6,중간,적당함,없음,지성 / 민감성,없음,없음
29,코코넛오일,1,낮음,적당함,없음,지성,없음,없음
30,팔미틱애씨드;팔미티산,1,낮음,적당함,없음,지성,없음,없음
31,페트롤라툼;바세린;페트롤라튬,4,중간,적당함,없음,지성,없음,없음
32,펜타데스마부티라케아버터,1,낮음,없음,없음,지성,없음,없음
33,검정콩추출물;검은콩추출물;콩추출물;대두추출물,1,낮음,적음,건성,없음,없음,없음
34,귀리가루;귀리커넬가루,1,낮음,매우 많음,건성,없음,없음,없음
35,귀리가루추출물;오트밀추출물,1,낮음,적당함,건성,없음,없음,없음
36,글리세린,2,낮음,충분함,건성,없음,없음,없음
37,달맞이꽃오일,1,낮음,적음,건성,없음,없음,없음
38,달맞이꽃추출물,1,낮음,적음,건성,없음,없음,없음
39,레티닐팔미테이트;비타민A팔미테이트,9,높음,적당함,건성,없음,없음,주름개선
40,베타-카로틴,2,낮음,적당함,건성,없음,없음,없음
41,벤조페논-4,0,없음,없음,건성,없음,없음,없음
42,복숭아수,0,없음,없음,건성,없음,없음,없음
43,복숭아즙,0,없음,없음,건성,없음,없음,없음
44,복숭아추출물,1,낮음,적음,건성,없음,없음,없음
45,"부틸렌글라이콜;1,3-부틸렌글라이콜",1,낮음,적음,건성,없음,없음,없음
46,비타민B복합체,1,낮음,적당함,건성,없음,없음,없음
47,상백피추출물,1,낮음,없음,건성,없음,없음,없음
48,소듐피씨에이,1,낮음,적음,건성,없음,없음,없음
49,소듐하이알루로네이트,1,낮음,적당함,건성,없음,없음,없음
50,아보카도오일,1,낮음,적음,건성,없음,없음,없음
51,아스코빅애씨드;비타민C,1,낮음,적당함,건성,없음,없음,없음
52,알부틴;p-하이드록시페닐 B -D-글루코사이드,1,낮음,적음,건성,없음,없음,미백개선
53,엘라스틴,1,낮음,적당함,건성,없음,없음,없음
54,오이,0,없음,없음,건성,없음,없음,없음
55,오이수,1,낮음,적당함,건성,없음,없음,없음
56,오이오일,1,낮음,적당함,건성,없음,없음,없음
57,오이즙,1,낮음,적당함,건성,없음,없음,없음
58,오이즙,1,낮음,적당함,건성,없음,없음,없음
59,캐모마일꽃/잎/줄기추출물,0,없음,없음,건성 / 민감성,없음,없음,없음
60,캐모마일꽃/잎추출물,0,없음,없음,건성 / 민감성,없음,없음,없음
61,캐모마일꽃가루,0,없음,없음,건성 / 민감성,없음,없음,없음
62,캐모마일꽃수,1,낮음,없음,건성 / 민감성,없음,없음,없음
63,캐모마일꽃오일,1,낮음,적음,건성 / 민감성,없음,없음,없음
64,캐모마일꽃추출물;마트리카리아꽃추출물,1,낮음,적음,건성 / 민감성,없음,없음,없음
65,캐모마일오일,1,낮음,적음,건성 / 민감성,없음,없음,없음
66,캐모마일잎추출물,1,낮음,적음,건성 / 민감성,없음,없음,없음
67,코직애씨드,6~7,높음,적음,건성,없음,없음,없음
68,콜라겐,1,낮음,적당함,건성,없음,없음,없음
69,토코페롤;비타민E,1,낮음,적당함,건성,없음,없음,없음
70,파일워트추출물,1,낮음,적음,건성,없음,없음,없음
71,판테놀;디판테놀;덱스판테놀,1,낮음,적음,건성,없음,없음,없음
72,포도씨추출물,1,낮음,적당함,건성,없음,없음,없음
73,프로필렌글라이콜,3,중간,적당함,건성,없음,없음,없음
74,조류,1,낮음,적당함,건성 / 민감성,없음,없음,없음
75,변성알코올,0,없음,없음,없음,건성 / 민감성,없음,없음
76,변성알코올39-C,4,중간,없음,없음,건성 / 민감성,없음,없음
77,변성알코올40,5,중간,적음,없음,건성 / 민감성,없음,없음
78,변성알코올40-B,4,중간,없음,없음,건성 / 민감성,없음,없음
79,부티롤락톤,0,없음,없음,없음,건성 / 민감성,없음,없음
80,부틸메타크릴레이트,0,없음,없음,없음,건성 / 민감성,없음,없음
81,붉은토끼풀추출물,0,없음,없음,없음,건성 / 민감성,없음,없음
82,브라시카미도프로필디메칠아민,0,없음,없음,없음,건성 / 민감성,없음,없음
83,브이피/폴리카바밀폴리글라이콜에스터,0,없음,없음,없음,건성 / 민감성,없음,없음
84,비스-부틸옥시아모디메치콘/피이지-60코폴리머,0,없음,없음,없음,건성 / 민감성,주의성분,없음
85,비스-피이지-15메칠에텔디메치콘,0,없음,없음,없음,건성 / 민감성,주의성분,없음
86,비터오렌지껍질추출물,0,없음,없음,없음,건성 / 민감성,없음,없음
87,사이클로덱스트린라우레이트,0,없음,없음,없음,건성 / 민감성,없음,없음
88,생강수,0,없음,없음,없음,건성 / 민감성,없음,없음
89,서양벌노랑이씨추출물,0,없음,없음,없음,건성 / 민감성,없음,없음
90,서양산사나무꽃수,0,없음,없음,없음,건성 / 민감성,없음,없음
91,서양산사나무열매추출물,0,없음,없음,없음,건성 / 민감성,없음,없음
92,섬조릿대수,0,없음,없음,없음,건성 / 민감성,없음,없음
93,성모초잎추출물,0,없음,없음,없음,건성 / 민감성,없음,없음
94,세러브로사이드,0,없음,없음,없음,건성 / 민감성,없음,없음
95,세테아레스-23,0,없음,없음,없음,건성 / 민감성,없음,없음
96,세테아레스-2포스페이트,0,없음,없음,없음,건성 / 민감성,없음,없음
97,세테아레스-8,0,없음,없음,없음,건성 / 민감성,없음,없음
98,세틸미리스테이트,0,없음,없음,없음,건성 / 민감성,없음,없음
99,셀레늄아스파테이트,0,없음,없음,없음,건성 / 민감성,없음,없음
100,소듐/티이에이-라우로일콜라겐아미노산,0,없음,없음,없음,건성 / 민감성,없음,없음
101,소듐C12-13파레스설페이트,0,없음,없음,없음,건성 / 민감성,없음,없음
102,소듐라우라미노프로피오네이트,0,없음,없음,없음,건성 / 민감성,없음,없음
103,소듐라우로일메칠아미노프로피오네이트,0,없음,없음,없음,건성 / 민감성,없음,없음
104,소듐리놀리에이트,0,없음,없음,없음,건성 / 민감성,없음,없음
105,소듐메칠파라벤,0,없음,없음,없음,건성 / 민감성,주의성분,없음
106,소듐스위트아몬드암포아세테이트,0,없음,없음,없음,건성 / 민감성,없음,없음
107,소듐스테아릴프탈라메이트,0,없음,없음,없음,건성 / 민감성,없음,없음
108,소듐에리소베이트,0,없음,없음,없음,건성 / 민감성,없음,없음
